the_geom,ID Upra,ID Incoder,Nombre Distrito,Código departamento,Departamento,Código municipio,Municipio,Vereda,Área neta,Área bruta,Escala,Altitud,Tipo de Distrito ,Etapa Distrito,Funciona,Numero usuarios,Administra,Asociación de usuarios,Resolucion,Usos actuales,CAR,Fuentes hídricas,Concesion,Polígono,Entidad fuente,Longitud,Latitud,Nombre subzona hidrográfica,Código Subzona hidrográfica
POINT (-73.01646306331395 5.905021974718838),ADTP0122,121,QUEBRADA GRANDE,15,BOYACÁ,15693,SANTA ROSA DE VITERBO,QUEBRADA GRANDE,85,0,Pequeña,0,Riego y Drenaje,AOM,SI,68,ASOCIACION DE USUARIOS,ASOPORVENIR,26 del 11/02/1988,Papa,,,,,,,,,
POINT (-73.6243113207421 5.726915362589627),ADTP0123,122,AGUDELO,15,BOYACÁ,15696,SANTA SOFÍA,EL SALITRE,31,0,Pequeña,0,Riego y Drenaje,AOM,SI,36,ASOCIACION DE USUARIOS,ASOSALITRILLO,644 del 01/10/1994,Pastos,,,,,,,,,
POINT (-73.61337186656709 5.746736800156064),ADTP0124,123,SOROCOTA,15,BOYACÁ,15696,SANTA SOFÍA,SIN INFORMACIÓN,20,0,Pequeña,0,Riego y Drenaje,AOM,SI,23,ASOCIACION DE USUARIOS,SOROCOTA,SIN INFORMACIÓN,Maíz,,,,,,,,,
POINT (-73.21407785829545 5.459850801200046),ADTP0125,124,FIRAYA,15,BOYACÁ,15740,SIACHOQUE,FIRAYA Y SIACHOQUE ARRIBA,340,0,Pequeña,2873,Riego y Drenaje,AOM,SI,264,ASOCIACION DE USUARIOS,ASOFIRAYA,644 del 01/10/1996,Pastos,,,,,,,,,
POINT (-73.24310345240052 5.460520181024743),ADTP0126,125,SIACHOQUE,15,BOYACÁ,15740,SIACHOQUE,SIACHOQUE ABAJO,,,,,,,,,,,,,,,,,,,,,
POINT (-72.71089572740433 6.331120075354123),ADTP0127,126,ASORRIEGO,15,BOYACÁ,15753,SOATÁ,SIN INFORMACIÓN,166,0,Pequeña,0,Riego y Drenaje,AOM,SI,60,ASOCIACION DE USUARIOS,ASORRIEGO,SIN INFORMACIÓN,Pastos,,,,,,,,,
POINT (-72.63579034425858 6.035363396941686),ADTP0129,127,ASOELPROGRESO,15,BOYACÁ,15755,SOCOTÁ,SIN INFORMACIÓN,205,0,Pequeña,0,Riego y Drenaje,AOM,SI,141,ASOCIACION DE USUARIOS,ASOELPROGRESO,SIN INFORMACIÓN,Pastos,,,,,,,,,
POINT (-72.94502251963246 5.656404897906892),ADTP0131,128,SISCUNCÍ,15,BOYACÁ,15759,SOGAMOSO,SISCUNCÍ,,,,,,,,,,,,,,,,,,,,,
POINT (-72.68730606427269 6.201219711413611),ADTP0143,129,TOBAL,15,BOYACÁ,15774,SUSACÓN,TOBAL,,,,,,,,,,,,,,,,,,,,,
POINT (-72.73765168175291 6.28812244576257),ADTP0144,130,ASOCENTENARIA,15,BOYACÁ,15774,SUSACÓN,EL HATO,,,,,,,,,,,,,,,,,,,,,
POINT (-72.73832968735957 5.883745895234068),ADTP0145,131,DISTRI CANALES,15,BOYACÁ,15790,TASCO,SIN INFORMACIÓN,179,0,Pequeña,0,Riego y Drenaje,AOM,SI,208,SIN INFORMACIÓN,ASODISTRICANALES,SIN INFORMACIÓN,SIN INFORMACIÓN,CORPOBOYACA,SIN INFORMACIÓN,NO,NO,PROYECTAMOS,72° 44.300' W,5° 53.025' N,Río Chicamocha,2403
POINT (-72.76811266256527 5.860066572090089),ADTP0146,132,SANTA BARBARA,15,BOYACÁ,15790,TASCO,SAN ISIDRO,212,0,Pequeña,1400,Riego y Drenaje,AOM,SI,239,SIN INFORMACIÓN,ASOSANTABARBARA,9 del 07/01/1997,Pastos,,,,,,,,,
POINT (-73.44000076022554 5.0410473975913614),ADTP0147,133,VALLEGRANDE,15,BOYACÁ,15798,TENZA,VALLEGRANDE,12,0,Pequeña,0,Riego y Drenaje,AOM,SI,21,ASOCIACION DE USUARIOS,ASOVALLEGRANDE,482 del 01/12/1987,Pepino,,,,,,,,,
POINT (-76.59109172978845 2.237614032917412),ADTP0216,202,SAN ISIDRO,19,CAUCA,19760,SOTARÁ (Paispamba),SAN ISIDRO,40,0,Pequeña,2432,Riego y Drenaje,AOM,SI,40,ASOCIACION DE USUARIOS,ASO SAN ISIDRO,476 del 01/12/1997,Mora,,,,,,,,,
POINT (-73.04320514826266 5.708803065602316),ADTP0148,134,AYALAS,15,BOYACÁ,15806,TIBASOSA,SIACHOQUE ABAJO,,,,,,,,,,,,,,,,,,,,,
POINT (-72.98655793421361 5.786165893032579),ADTP0149,135,SAN RAFAEL,15,BOYACÁ,15806,TIBASOSA,SIN INFORMACIÓN,130,0,Pequeña,1619,Riego y Drenaje,AOM,SI,67,ASOCIACION DE USUARIOS,ASOSANRAFAEL,SIN INFORMACIÓN,SIN INFORMACIÓN,CORPOBOYACA,SIN INFORMACIÓN,NO,NO,PROYECTAMOS,72° 59.194' W,5° 47.170' N,Río Chicamocha,2403
POINT (-72.98434915201429 5.76299721637928),ADTP0150,136,TIBASOSA,15,BOYACÁ,15806,TIBASOSA,SIN INFORMACIÓN,481,0,Pequeña,0,Riego y Drenaje,AOM,SI,556,ASOCIACION DE USUARIOS,ASOTIBASOSA,SIN INFORMACIÓN,SIN INFORMACIÓN,CORPOBOYACA,SIN INFORMACIÓN,NO,NO,PROYECTAMOS,72° 59.061' W,5° 45.780' N,Río Chicamocha,2403
POINT (-72.70043280122425 6.412434456781512),ADTP0151,137,LOS PACHECOS,15,BOYACÁ,15810,TIPACOQUE,SIN INFORMACIÓN,140,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,90,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN INFORMACIÓN,CORPOBOYACA,Q. los Pachecos,SI,NO,PROYECTAMOS,72° 42.026' W,6° 24.746' N,Río Chicamocha,2403
POINT (-73.00902990738511 5.48061365201515),ADTP0152,138,TOQUECHA,15,BOYACÁ,15822,TOTA,SIN INFORMACIÓN,125,0,Pequeña,0,Riego y Drenaje,AOM,SI,174,SIN INFORMACIÓN,ASOTOQUECHA,SIN INFORMACIÓN,SIN INFORMACIÓN,CORPOBOYACA,Lg. Tota,SI,NO,PROYECTAMOS,73° 0.542' W,5° 28.837' N,Río Chicamocha,2403
POINT (-72.71875223333609 6.702910947393998),ADTP0612,614,EL BARZAL,68,SANTANDER,68432,MÁLAGA,EL BARZAL,80,0,Pequeña,0,Riego y Drenaje,AOM,SI,50,ASOCIACION DE USUARIOS,ASURIBARZAL,93 del 06/02/2002,Fríjol,,,,,,,,,
POINT (-77.20792728024448 2.088064886034443),ADTP0167,153,SANJON HONDO,19,CAUCA,19075,BALBOA,LAS TALLAS,100,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,76,ASOCIACION DE USUARIOS,ASOSANJONHONDO,SIN INFORMACIÓN,SIN INFORMACIÓN,CRC,SIN INFORMACIÓN,NO,NO,PROYECTAMOS,77° 12.476' W,2° 5.284' N,Río Patia Alto,5201
POINT (-73.21625531437115 5.632096362165333),ADTP0153,139,SANTA TERESA,15,BOYACÁ,15837,TUTA,RESGUARDO,,,,,,,,,,,,,,,,,,,,,
